index,label
990,0
991,0
994,0
997,0
999,1
1000,0
1001,0
1002,0
1004,0
1006,1
1008,0
1009,0
1012,0
1014,0
1017,0
1018,0
1021,0
1023,0
1025,0
1026,0
1028,0
1029,0
1030,0
1032,0
1033,0
1036,1
1040,0
1044,0
1045,0
1046,0
1050,0
1054,0
1055,0
1056,1
1058,1
1061,0
1062,0
1063,0
1064,0
1065,1
1068,0
1070,0
1073,0
1078,0
1079,0
1081,0
1083,0
1085,0
1088,0
1089,0
1090,0
1091,0
1093,0
1094,0
1098,0
1099,0
1100,0
1102,0
1103,0
1104,0
1109,1
1112,0
1113,0
1114,1
1116,0
1119,0
1120,0
1121,0
1126,1
1128,0
1131,1
1133,0
1135,1
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1146,0
1147,0
1152,0
1153,0
1154,0
1157,0
1160,0
1161,0
1162,1
1163,1
1167,0
1168,1
1173,0
1176,0
1181,0
1186,0
1188,0
1189,0
1192,1
1193,0
1194,1
1198,0
1200,1
1201,1
1204,0
1207,0
1208,0
1210,1
1211,0
1215,1
1217,1
1219,0
1221,0
1228,0
1229,0
1232,0
1233,1
1234,0
1238,0
1241,0
1243,0
1244,0
1249,0
1252,0
1254,0
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1263,0
1264,0
1270,0
1273,0
1274,0
1277,0
1278,0
1282,0
1283,1
1284,1
1287,1
1288,0
1290,1
1291,1
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1303,1
1304,0
1306,0
1307,0
1309,0
1311,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,1
1322,0
1323,0
1324,0
1325,0
1326,0
1329,0
1331,1
1336,0
1341,0
1345,0
1346,0
1351,0
1353,0
1355,0
1356,0
1357,0
1361,0
1362,1
1364,0
1372,0
1373,1
1374,0
1375,0
1376,0
1377,0
1380,0
1381,0
1382,0
1384,1
1386,0
1387,0
1388,0
1389,0
1392,0
1394,0
1395,0
1396,0
1398,0
1399,0
1400,0
1402,1
1404,1
1405,0
1407,0
1409,1
1410,0
1411,0
1413,0
1414,1
1415,0
1416,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,1
1426,0
1427,0
1429,0
1432,0
1434,0
1435,0
1437,0
1441,0
1443,0
1444,0
1446,1
1447,0
1448,1
1449,1
1450,1
1451,0
1452,0
1454,0
1455,0
1456,1
1457,0
1458,0
1459,0
1461,0
1464,0
1465,0
1467,0
1472,0
1476,0
1479,0
1482,1
1485,0
1486,0
1488,0
1489,0
1490,0
1491,0
1493,0
1497,0
1499,0
1500,1
1502,0
1503,1
1504,0
1505,0
1506,1
1507,0
1512,0
1520,0
1521,1
1522,0
1524,0
1527,0
1529,0
1530,0
1531,0
1533,0
1534,0
1535,0
1536,0
1539,0
1543,0
1544,0
1545,0
1546,0
1547,0
1549,0
1552,1
1553,0
1554,0
1555,1
1556,0
1558,0
1559,0
1561,0
1563,0
1564,0
1565,0
1567,0
1568,0
1569,0
1572,1
1573,0
1574,0
1577,0
1580,0
1585,0
1586,0
1587,1
1589,0
1590,0
1592,0
1593,0
1595,1
1596,0
1597,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1606,1
1607,1
1609,0
1612,0
1614,1
1615,0
1616,0
1619,0
1622,0
1623,0
1624,0
1625,0
1628,0
1629,0
1631,0
1632,0
1634,1
1637,0
1638,1
1639,0
1641,0
1642,0
1643,0
1644,0
1646,1
1647,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1658,0
1660,0
1661,0
1662,0
1665,0
1666,0
1668,1
1669,1
1674,0
1676,0
1677,0
1680,0
1682,0
1684,0
1687,0
1688,0
1690,1
1696,0
1698,0
1699,0
1702,0
1704,0
1705,0
1706,0
1707,0
1710,0
1711,0
1713,1
1714,0
1719,0
1720,0
1723,0
1724,0
1725,0
1727,1
1730,0
1731,0
1734,0
1736,0
1738,0
1739,0
1740,1
1745,0
1746,0
1747,0
1750,0
1751,0
1752,0
1753,0
1756,0
1760,0
1762,1
1763,0
1766,0
1767,0
1769,0
1771,0
1772,0
1773,0
1776,0
1777,0
1778,0
1780,1
1781,0
1782,0
1784,0
1789,0
1790,1
1792,0
1793,0
1794,1
1795,0
1797,0
1798,0
1799,0
1801,0
1802,0
1803,0
1806,0
1809,0
1811,0
1812,0
1813,1
1814,0
1815,0
1816,0
1818,0
1825,0
1831,0
1832,1
1835,0
1837,0
1839,1
1842,0
1845,0
1846,0
1848,1
1849,0
1852,0
1854,1
1855,0
1856,0
1858,0
1859,0
1862,0
1863,1
1865,1
1867,0
1869,1
1870,0
1873,0
1877,0
1878,0
1880,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,1
1892,0
1897,0
1898,0
1900,0
1902,0
1903,0
1908,0
1909,0
1910,0
1911,0
1912,0
1914,0
1915,0
1916,1
1917,0
1920,0
1921,0
1923,0
1928,0
1929,0
1931,1
1932,0
1933,0
1936,0
1937,0
1939,0
1941,1
1944,0
1947,1
1949,0
1953,1
1954,0
1955,1
1956,0
1957,0
1958,0
1959,0
1960,0
1963,0
1964,0
1966,1
1970,0
1973,0
1977,1
1978,0
1979,0
1982,0
1983,1
1985,1
1987,0
1989,1
1991,1
1992,0
1993,1
1997,0
1998,0
1999,0
